Reference	Genotype	Phenotype
FJ666067.1.gene1.p1	beta-lactam__PDC-4	beta-lactam
FJ666068.1.gene1.p1	beta-lactam__PDC-5	beta-lactam
FJ666069.1.gene1.p1	beta-lactam__PDC-6	beta-lactam
FJ666070.1.gene1.p1	beta-lactam__PDC-7	beta-lactam
FJ666071.1.gene1.p1	beta-lactam__PDC-8	beta-lactam
FJ666072.1.gene1.p1	beta-lactam__PDC-9	beta-lactam
FJ666073.1.gene1.p1	beta-lactam__PDC-10	beta-lactam
FJ755840.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
FJ755841.1.gene1.p01	beta-lactam__OKP-A	beta-lactam
FJ785625.1.gene1.p01	beta-lactam__OXY-2	beta-lactam
FJ785626.1.gene1.p01	beta-lactam__OXY-2	beta-lactam
FJ790516.1.gene3.p01	beta-lactam__OXA-145	beta-lactam
FJ807656.1.gene1.p01	beta-lactam__TEM-154	beta-lactam
FJ815436.1.gene1.p01	beta-lactam__CTX-M-15	beta-lactam
FJ820124.1.gene2.p1	beta-lactam__GES-10	beta-lactam
FJ822963.1.gene1.p01	beta-lactam__metallo-beta-lactamase	beta-lactam
FJ825622.1.gene1.p1	beta-lactam__VEB-7	beta-lactam
FJ848783.1.gene3.p01	beta-lactam__OXA-147	beta-lactam
FJ854362.1.gene2.p01	beta-lactam__GES-11	beta-lactam
FJ872411.1.gene41.p01	vancomycin__vanE	vancomycin
FJ872411.1.gene42.p01	vancomycin__vanE	vancomycin
FJ872411.1.gene43.p01	vancomycin__vanT	vancomycin
FJ872411.1.gene44.p01	vancomycin__vanR	vancomycin
FJ872411.1.gene45.p01	vancomycin__vanS	vancomycin
FJ872530.1.gene1.p01	beta-lactam__OXA-144	beta-lactam
FJ873739.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
FJ873740.1.gene1.p01	beta-lactam__TEM-169	beta-lactam
FJ907381.1.gene1.p01	beta-lactam__CTX-M-90	beta-lactam
FJ919776.1.gene1.p01	beta-lactam__TEM-168	beta-lactam
FJ971899.1.gene1.p1	beta-lactam__CTX-M-89	beta-lactam
FM897214.1.orf2.gene.p01	rifamycin__ADP-ribosylating transferase_arr	rifamycin
FN546177.1.gene1.p01	beta-lactam__ampC	beta-lactam
FN554543.1.gene1.p01	beta-lactam__GES-12	beta-lactam
FN556186.1.gene1.p01	beta-lactam__CMY-39	beta-lactam
FN594949.1.gene24.p01	tetracycline__tet44	tetracycline
FN594949.1.gene25.p01	aminoglycoside__aadE	aminoglycoside
FN652295.1.gene1.p01	beta-lactam__TEM-177	beta-lactam
FN813245.1.gene2.p01	beta-lactam__class A beta-lactamase	beta-lactam
FR682582.1.gene1.p01	beta-lactam__CTX-M-25	beta-lactam
FR717535.1.gene1.p01	beta-lactam__TEM-40	beta-lactam
FR748153.1.gene2.p01	beta-lactam__VIM-26	beta-lactam
FR772051.1.gene9.p01	macrolide-lincosamide-streptogramin__vgaE	macrolide-lincosamide-streptogramin
FR823292.1.gene2.p01	beta-lactam__blaZ	beta-lactam
FR823292.1.gene4.p01	beta-lactam__mecR1	beta-lactam
FR823292.1.gene6.p01	beta-lactam__mecI	beta-lactam
FR848831.1.gene1.p01	beta-lactam__TEM-184	beta-lactam
FR853176.1.gene1.p01	beta-lactam__OXA-208	beta-lactam
FR865168.1.gene1.p01	beta-lactam__OXA-216	beta-lactam
GQ131574.1.gene1.p01	aminoglycoside__rmtC	aminoglycoside
GQ140348.1.gene1.p01	beta-lactam__KPC-10	beta-lactam
GQ149243.1.gene1.p01	beta-lactam__CTX-M-74	beta-lactam
GQ149244.1.gene1.p01	beta-lactam__CTX-M-75	beta-lactam
GQ149347.1.gene3.p1	bleomycin__bleomycin resistance protein	bleomycin
GQ149347.1.gene4.p1	beta-lactam__TEM-171	beta-lactam
GQ152600.1.gene1.p01	beta-lactam__MOX-5	beta-lactam
GQ152601.1.gene1.p01	beta-lactam__MOX-6	beta-lactam
GQ152602.1.gene1.p01	beta-lactam__MOX-7	beta-lactam
GQ202693.1.gene2.p01	beta-lactam__OXA-161	beta-lactam
GQ202694.1.gene1.p01	beta-lactam__BEL-3	beta-lactam
GQ205627.2.gene1.p01	macrolide-lincosamide-streptogramin__vgaD	macrolide-lincosamide-streptogramin
GQ205627.2.gene3.p01	macrolide-lincosamide-streptogramin__vatG	macrolide-lincosamide-streptogramin
GQ242167.1.gene1.p01	beta-lactam__VIM-23	beta-lactam
GQ244501.1.gene1.p01	tetracycline__tet43	tetracycline
GQ288397.1.gene1.p01	beta-lactam__SIM-1	beta-lactam
GQ351345.1.gene1.p01	beta-lactam__CMY-73	beta-lactam
GQ351346.1.gene1.p01	beta-lactam__CTX-M-114	beta-lactam
GQ396303.1.gene1.p01	beta-lactam__PER-6	beta-lactam
GQ402541.1.gene1.p01	beta-lactam__ampC	beta-lactam
GQ414736.1.gene1.p01	beta-lactam__VIM-2	beta-lactam
GQ428198.1.gene1.p01	beta-lactam__SHV-121	beta-lactam
GQ853679.1.gene1.p1	beta-lactam__OXA-148	beta-lactam
GQ853680.1.gene1.p1	beta-lactam__OXA-149	beta-lactam
GQ853681.1.gene1.p1	beta-lactam__OXA-150	beta-lactam
GQ870432.1.gene1.p1	beta-lactam__CTX-M-91	beta-lactam
GU015024.1.gene1.p01	beta-lactam__IMI-3	beta-lactam
GU045307.1.gene1.p1	beta-lactam__IMP-4	beta-lactam
GU127598.1.gene1.p1	beta-lactam__CTX-M-92	beta-lactam
GU169702.1.gene2.p01	beta-lactam__GES-13	beta-lactam
GU186044.1.gene1.p01	beta-lactam__IND-8	beta-lactam
GU186045.1.gene1.p01	beta-lactam__IND-9	beta-lactam
GU206353.1.gene1.p01	beta-lactam__IND-10	beta-lactam
GU207844.1.gene1.p01	beta-lactam__GES-14	beta-lactam
GU208678.1.gene1.p01	beta-lactam__GES-15	beta-lactam
GU371926.1.gene94.p01	beta-lactam__TEM-33	beta-lactam
GU550123.1.gene1.p1	beta-lactam__TEM-176	beta-lactam
GU565967.1.gene31.p01	aminoglycoside__aph(3)-I	aminoglycoside
GU827715.1.gene1.p01	beta-lactam__SHV	beta-lactam
GU831575.1.gene1.p01	beta-lactam__OXA-164	beta-lactam
GU932590.1.gene1.p1	beta-lactam__SHV-128	beta-lactam
HE614014.2.gene1.p01	beta-lactam__OXA-258	beta-lactam
HE616889.1.gene2.p01	beta-lactam__OXA-10	beta-lactam
HE819402.1.gene1.p01	beta-lactam__ACT-13	beta-lactam
HE819404.1.gene1.p01	beta-lactam__CMY-78	beta-lactam
HE963768.1.gene1.p01	beta-lactam__OXA-120	beta-lactam
HE963769.1.gene1.p01	beta-lactam__OXA-248	beta-lactam
HE963771.1.gene1.p01	beta-lactam__OXA-250	beta-lactam
HE981194.1.gene1.p01	beta-lactam__SHV-164	beta-lactam
HE993884.1.gene10.p01	beta-lactam__mecR1	beta-lactam
HE993884.1.gene8.p01	beta-lactam__blaZ	beta-lactam
HE999704.1.gene1047.p01	macrolide-lincosamide-streptogramin__msrA	macrolide-lincosamide-streptogramin
HE999704.1.gene1125.p01	multidrug__mepA	multidrug
HE999704.1.gene1126.p01	multidrug__mepA	multidrug
HE999704.1.gene1528.p01	unclassified__truncated putative response regulator ArlR	unclassified
HE999704.1.gene1529.p01	unclassified__histidine kinase	unclassified
HE999704.1.gene1687.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
HE999704.1.gene2348.p01	multidrug__mdtH	multidrug
HE999704.1.gene2394.p01	multidrug__mepA	multidrug
HE999704.1.gene2674.p01	unclassified__cystathionine beta-lyase patB	unclassified
HE999704.1.gene3064.p01	multidrug__mepA	multidrug
HE999704.1.gene3083.p01	multidrug__mdtG	multidrug
HE999704.1.gene3084.p01	multidrug__mdtG	multidrug
HE999704.1.gene3165.p01	multidrug__mtrR	multidrug
HE999704.1.gene3170.p01	quinolone__norB	quinolone
HF947514.1.gene1.p01	beta-lactam__OXA-309	beta-lactam
HG423149.1.gene1.p01	beta-lactam__CTX-M-103	beta-lactam
HG798963.1.gene1.p01	beta-lactam__DHA-12	beta-lactam
HM015773.1.gene6.p01	beta-lactam__OXA-162	beta-lactam
HM036080.1.gene1.p01	aminoglycoside__aac(3)-I	aminoglycoside
HM066995.1.gene1.p01	beta-lactam__KPC-11	beta-lactam
HM113558.1.gene1.p01	beta-lactam__OXA-172	beta-lactam
HM113559.1.gene1.p01	beta-lactam__OXA-173	beta-lactam
HM113560.1.gene1.p01	beta-lactam__OXA-174	beta-lactam
HM113561.1.gene1.p01	beta-lactam__OXA-175	beta-lactam
HM113562.1.gene1.p01	beta-lactam__OXA-176	beta-lactam
HM113563.1.gene1.p01	beta-lactam__OXA-177	beta-lactam
HM113564.1.gene1.p01	beta-lactam__OXA-178	beta-lactam
HM146927.1.gene1.p01	beta-lactam__CMY-2	beta-lactam
HM167760.1.gene1.p01	beta-lactam__CTX-M-94	beta-lactam
HM245379.1.gene1.p01	beta-lactam__IND-11	beta-lactam
HM245380.1.gene1.p01	beta-lactam__IND-12	beta-lactam
HM246246.1.gene1.p1	beta-lactam__TEM-187	beta-lactam
HM367709.1.gene1.p01	beta-lactam__IND-14	beta-lactam
HM488986.1.gene1.p1	beta-lactam__OXA-165	beta-lactam
HM488987.1.gene1.p1	beta-lactam__OXA-166	beta-lactam
HM488988.1.gene1.p1	beta-lactam__OXA-167	beta-lactam
HM488989.1.gene1.p1	beta-lactam__OXA-168	beta-lactam
HM488990.1.gene1.p1	beta-lactam__OXA-169	beta-lactam
HM488991.1.gene1.p1	beta-lactam__OXA-170	beta-lactam
HM488992.1.gene1.p1	beta-lactam__OXA-171	beta-lactam
HM544039.1.gene1.p1	beta-lactam__CMY-54	beta-lactam
HM544040.1.gene1.p1	beta-lactam__CMY-55	beta-lactam
HM559945.1.gene1.p01	beta-lactam__SHV-134	beta-lactam
HM565917.1.gene1.p01	beta-lactam__FOX-8	beta-lactam
HM570035.1.gene1.p01	beta-lactam__OXA-179	beta-lactam
HM570036.1.gene1.p01	beta-lactam__OXA-180	beta-lactam
HM750249.1.gene1.p01	beta-lactam__VIM-25	beta-lactam
HM751100.1.gene1.p01	beta-lactam__SHV	beta-lactam
HM755448.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
HM803271.1.gene1.p01	beta-lactam__CTX-M-99	beta-lactam
HM855205.1.gene1.p01	beta-lactam__VIM-24	beta-lactam
HQ111474.1.gene3.p01	beta-lactam__OXA-183	beta-lactam
HQ122933.1.gene1.p01	beta-lactam__OXA-134	beta-lactam
HQ166709.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
HQ285243.1.gene1.p01	beta-lactam__CMY-2	beta-lactam
HQ317449.1.gene1.p1	beta-lactam__TEM-182	beta-lactam
HQ322612.1.gene1.p01	beta-lactam__DHA-6	beta-lactam
HQ322613.1.gene1.p01	beta-lactam__CMY-56	beta-lactam
HQ336940.1.gene1.p01	beta-lactam__CMY-2	beta-lactam
HQ342889.1.gene1.p01	beta-lactam__KPC-13	beta-lactam
HQ398214.1.gene1.p01	beta-lactam__CTX-M-101	beta-lactam
HQ398215.1.gene1.p01	beta-lactam__CTX-M-102	beta-lactam
HQ424460.1.gene1.p01	aminoglycoside__aph(3)-IIb	aminoglycoside
HQ425492.1.gene1.p01	beta-lactam__OXA-194	beta-lactam
HQ425493.1.gene1.p01	beta-lactam__OXA-195	beta-lactam
HQ425494.1.gene1.p01	beta-lactam__OXA-196	beta-lactam
HQ425495.1.gene1.p01	beta-lactam__OXA-197	beta-lactam
HQ438058.1.gene1.p01	beta-lactam__IMP-29	beta-lactam
HQ449669.1.orf1.gene.p01	quinolone__qnrA	quinolone
HQ451074.1.gene23.p01	unclassified__16S rRNA methylase	unclassified
HQ451074.1.gene4.p01	beta-lactam__TEM-1	beta-lactam
HQ456945.1.gene1.p01	beta-lactam__DHA-7	beta-lactam
HQ529916.1.gene1.p01	beta-lactam__TEM-183	beta-lactam
HQ637576.1.gene1.p01	beta-lactam__SHV-135	beta-lactam
HQ641421.1.gene1.p01	beta-lactam__KPC-12	beta-lactam
HQ650104.1.gene1.p01	beta-lactam__CMY-39	beta-lactam
HQ661363.1.gene1.p1	beta-lactam__SHV-137	beta-lactam
HQ693810.1.gene2.p01	beta-lactam__ampC	beta-lactam
HQ700343.1.gene1.p01	beta-lactam__OXA-163	beta-lactam
HQ713678.1.gene5.p01	beta-lactam__PER-7	beta-lactam
HQ734811.1.gene1.p01	beta-lactam__OXA-200	beta-lactam
HQ734812.1.gene1.p01	beta-lactam__OXA-201	beta-lactam
HQ734813.1.gene1.p01	beta-lactam__OXA-202	beta-lactam
HQ832678.1.gene1.p01	beta-lactam__CMY-64	beta-lactam
HQ833651.1.gene1.p01	beta-lactam__CTX-M-105	beta-lactam
HQ833652.1.gene1.p01	beta-lactam__CTX-M-14	beta-lactam
HQ845196.1.gene1.p01	beta-lactam__SHV-52	beta-lactam
HQ858608.1.gene1.p01	beta-lactam__metallo-beta-lactamase	beta-lactam
HQ874631.1.gene1.p1	beta-lactam__GES-17	beta-lactam
HQ875573.1.gene1.p01	beta-lactam__IMP-38	beta-lactam
HQ877606.1.gene1.p01	beta-lactam__TEM-197	beta-lactam
HQ877614.1.gene1.p01	beta-lactam__SHV	beta-lactam
HQ913565.1.gene1.p01	beta-lactam__CTX-M-106	beta-lactam
HQ998857.1.gene1.p01	beta-lactam__OXA-203	beta-lactam
JE0138	aminoglycoside__aac(3)-II	aminoglycoside
JF268688.1.gene5.p01	beta-lactam__OXA-209	beta-lactam
JF273470.1.gene1.p01	beta-lactam__OXA-192	beta-lactam
JF273491.1.gene2.p01	beta-lactam__DHA-5	beta-lactam
JF274242.1.gene1.p01	beta-lactam__CTX-M-110	beta-lactam
JF274243.1.gene1.p01	beta-lactam__CTX-M-111	beta-lactam
JF274246.1.gene1.p01	beta-lactam__CTX-M-112	beta-lactam
JF274247.1.gene1.p01	beta-lactam__CTX-M-113	beta-lactam
JF460794.1.gene1.p01	beta-lactam__CMY-60	beta-lactam
JF460795.1.gene1.p01	beta-lactam__CMY-61	beta-lactam
JF460796.1.gene1.p01	beta-lactam__CMY-62	beta-lactam
JF703135.1.gene1.p1	beta-lactam__NDM-2	beta-lactam
JF780936.1.gene1.p01	beta-lactam__CMY-65	beta-lactam
JF795487.1.gene1.p01	beta-lactam__OXA-210	beta-lactam
JF795538.1.gene1.p01	beta-lactam__TEM-185	beta-lactam
JF800667.1.gene2.p01	beta-lactam__OXA-205	beta-lactam
JF802084.2.gene1.p01	vancomycin__vanN	vancomycin
JF802084.2.gene2.p01	vancomycin__vanN	vancomycin
JF802084.2.gene3.p01	vancomycin__vanN	vancomycin
JF802084.2.gene4.p01	vancomycin__vanR	vancomycin
JF802084.2.gene5.p01	vancomycin__vanN	vancomycin
JF812965.1.gene1.p01	beta-lactam__SHV-120	beta-lactam
JF816544.1.gene1.p01	beta-lactam__IMP-35	beta-lactam
JF894248.1.gene1.p1	beta-lactam__IMP-27	beta-lactam
JF896803.1.gene1.p01	beta-lactam__FOX-9	beta-lactam
JF900599.1.gene1.p01	beta-lactam__VIM-28	beta-lactam
JF949915.1.gene1.p01	beta-lactam__TEM-1	beta-lactam
JF949916.1.gene1.p01	beta-lactam__TEM-1	beta-lactam
JF966749.1.gene1.p01	beta-lactam__CTX-M-22	beta-lactam
JN051143.1.gene1.p01	beta-lactam__SHV-140	beta-lactam
JN104597.1.gene1.p01	beta-lactam__NDM-5	beta-lactam
JN118546.1.gene3.p01	beta-lactam__OXA-251	beta-lactam
JN129451.1.gene1.p01	beta-lactam__VIM-30	beta-lactam
JN205800.1.gene6.p01	beta-lactam__OXA-181	beta-lactam
JN211012.1.gene1.p01	beta-lactam__TEM-188	beta-lactam
JN215211.1.gene1.p01	beta-lactam__OXA-219	beta-lactam
JN227084.1.gene1.p01	beta-lactam__TEM-186	beta-lactam
JN227085.1.gene1.p01	beta-lactam__CTX-M-15	beta-lactam
JN248564.1.gene1.p01	beta-lactam__OXA-223	beta-lactam
JN254627.1.gene1.p01	beta-lactam__TEM-189	beta-lactam
JN416112.1.gene1.p01	beta-lactam__TEM-190	beta-lactam
JN596280.1.gene2.p01	aminoglycoside__aac(6)-I	aminoglycoside
JN596280.1.gene3.p01	beta-lactam__GES-19	beta-lactam
JN596280.1.gene4.p01	beta-lactam__GES-20	beta-lactam
JN596991.2.gene4.p01	beta-lactam__OXA-4	beta-lactam
JN603240.1.gene1.p1	beta-lactam__OXA-217	beta-lactam
JN638887.1.gene1.p01	beta-lactam__OXA-225	beta-lactam
JN645706.1.gene1.p01	beta-lactam__PBP-2X	beta-lactam
JN645776.1.gene1.p01	beta-lactam__PBP-1A	beta-lactam
JN790862.1.gene1.p01	beta-lactam__CTX-M-121	beta-lactam
JN790863.1.gene1.p01	beta-lactam__CTX-M-122	beta-lactam
JN790864.1.gene1.p01	beta-lactam__CTX-M	beta-lactam
JN848330.1.gene1.p01	beta-lactam__class C beta-lactamase	beta-lactam
JN848782.1.gene1.p01	beta-lactam__IMP-33	beta-lactam
JN861779.1.gene1.p01	beta-lactam__OXA-211	beta-lactam
JN861780.1.gene1.p01	beta-lactam__OXA-212	beta-lactam
JN861781.1.gene1.p01	beta-lactam__OXA-213	beta-lactam
JN861782.1.gene1.p01	beta-lactam__OXA-214	beta-lactam
JN861783.1.gene1.p01	beta-lactam__OXA-215	beta-lactam
JN935135.1.gene1.p1	beta-lactam__TEM-193	beta-lactam
JN935136.1.gene1.p1	beta-lactam__TEM-194	beta-lactam
JN935137.1.gene1.p1	beta-lactam__TEM-195	beta-lactam
JN967644.1.gene1.p01	beta-lactam__NDM-6	beta-lactam
JN969893.2.gene1.p2	beta-lactam__CTX-M-131	beta-lactam
JQ002629.1.gene1.p01	beta-lactam__IMP-32	beta-lactam
JQ028729.1.gene1.p01	beta-lactam__GES-18	beta-lactam
JQ029959.1.gene1.p01	beta-lactam__SHV-142	beta-lactam
JQ1201	chloramphenicol__cmlA	chloramphenicol
JQ341060.1.gene1.p01	beta-lactam__SHV-143	beta-lactam
JQ348841.1.gene1.p01	beta-lactam__NDM-4	beta-lactam
JQ364968.1.gene6.p01	beta-lactam__RTG-5	beta-lactam
JQ388884.1.gene1.p1	beta-lactam__SHV-141	beta-lactam
JQ396378.1.gene1.p01	beta-lactam__OXA-184	beta-lactam
JQ407409.1.gene2.p01	beta-lactam__IMP-28	beta-lactam
JQ422052.1.gene1.p01	beta-lactam__OXA-229	beta-lactam
JQ422053.1.gene1.p01	beta-lactam__OXA-228	beta-lactam
JQ422054.1.gene1.p01	beta-lactam__OXA-230	beta-lactam
JQ429324.1.gene1.p01	beta-lactam__class A beta-lactamase	beta-lactam
JQ664733.1.gene1.p01	beta-lactam__MIR-6	beta-lactam
JQ724542.1.gene1.p1	beta-lactam__CTX-M-125	beta-lactam
JQ733571.1.gene2.p01	beta-lactam__CMY-51	beta-lactam
JQ733575.1.gene2.p01	beta-lactam__CMY-78	beta-lactam
JQ733576.1.gene2.p01	beta-lactam__CMY-79	beta-lactam
JQ733577.1.gene2.p01	beta-lactam__CMY-80	beta-lactam
JQ734687.1.gene1.p01	beta-lactam__NDM-3	beta-lactam
JQ768046.1.gene8.p1	multidrug__major_facilitator_superfamily_transporter	multidrug
JQ772478.1.gene1.p1	beta-lactam__GES-21	beta-lactam
JQ808129.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
JQ808129.1.gene2.p01	aminoglycoside__rmtF	aminoglycoside
JQ808129.1.gene4.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
JQ820241.1.gene1.p01	beta-lactam__OXA-237	beta-lactam
JQ820242.1.gene1.p01	beta-lactam__OXA-236	beta-lactam
JQ837239.1.gene1.p01	beta-lactam__OXA-239	beta-lactam
JQ838185.1.gene1.p01	beta-lactam__OXA-207	beta-lactam
JQ861959.1.gene5.p01	aminoglycoside__aadE	aminoglycoside
JQ861959.1.gene7.p01	aminoglycoside__ant(9)-I	aminoglycoside
JX013655.1.gene1.p01	beta-lactam__SHV-145	beta-lactam
JX013656.1.gene1.p01	beta-lactam__VIM-34	beta-lactam
JX017364.1.gene1.p01	beta-lactam__CTX-M-129	beta-lactam
JX017365.1.gene1.p01	beta-lactam__CTX-M-130	beta-lactam
JX025021.1.gene1.p01	beta-lactam__OXA-241	beta-lactam
JX025022.1.gene1.p01	beta-lactam__OXA-242	beta-lactam
JX042489.1.gene1.p01	beta-lactam__TEM-19	beta-lactam
JX049132.1.gene1.p01	beta-lactam__CMY-69	beta-lactam
JX089628.1.gene1.p01	beta-lactam__OXA-240	beta-lactam
JX121114.1.gene1.p01	beta-lactam__SHV-147	beta-lactam
JX121115.1.gene1.p01	beta-lactam__SHV-148	beta-lactam
JX121116.1.gene1.p01	beta-lactam__SHV-149	beta-lactam
JX121117.1.gene1.p01	beta-lactam__SHV-150	beta-lactam
JX121118.1.gene1.p01	beta-lactam__SHV-151	beta-lactam
JX121119.1.gene1.p01	beta-lactam__SHV-152	beta-lactam
JX121120.1.gene1.p01	beta-lactam__SHV-153	beta-lactam
JX121121.1.gene1.p01	beta-lactam__SHV-154	beta-lactam
JX121122.1.gene1.p01	beta-lactam__SHV-155	beta-lactam
JX121124.1.gene1.p01	beta-lactam__SHV-157	beta-lactam
JX121125.1.gene1.p01	beta-lactam__SHV-158	beta-lactam
JX121126.1.gene1.p01	beta-lactam__SHV-159	beta-lactam
JX121127.1.gene1.p01	beta-lactam__SHV-160	beta-lactam
JX121128.1.gene1.p01	beta-lactam__SHV-161	beta-lactam
JX121129.1.gene1.p01	beta-lactam__SHV-162	beta-lactam
JX121131.1.gene1.p01	beta-lactam__SHV-165	beta-lactam
JX131372.1.gene1.p01	beta-lactam__IMP-37	beta-lactam
JX192924.1.gene1.p01	beta-lactam__SHV-28	beta-lactam
JX206446.1.gene1.p01	beta-lactam__OXA-243	beta-lactam
JX258134.1.gene1.p01	beta-lactam__VIM-33	beta-lactam
JX262694.1.gene1.p01	beta-lactam__NDM-7	beta-lactam
JX268631.1.gene1.p01	beta-lactam__SHV	beta-lactam
JX310327.1.gene1.p01	beta-lactam__TEM-201	beta-lactam
JX313020.1.gene1.p1	beta-lactam__CTX-M-132	beta-lactam
JX438000.1.gene1.p01	beta-lactam__OXA-244	beta-lactam
JX440354.1.gene2.p01	beta-lactam__ACT-14	beta-lactam
JX486113.1.gene1.p01	aminoglycoside__rmtG	aminoglycoside
JX514368.1.gene1.p01	beta-lactam__ampC	beta-lactam
JX514369.1.gene1.p01	beta-lactam__ampC	beta-lactam
JX679208.1.gene1.p1	beta-lactam__VEB-8	beta-lactam
JX870080.1.gene1.p01	beta-lactam__SHV-168	beta-lactam
JX893517.1.gene1.p01	beta-lactam__OXA-247	beta-lactam
JX896165.1.gene1.p01	beta-lactam__CTX-M-134	beta-lactam
JX982635.1.gene1.p01	beta-lactam__VIM-2	beta-lactam
JX982636.1.gene1.p01	beta-lactam__metallo-beta-lactamase	beta-lactam
K00432.1.gene1.p1	aminoglycoside__aph(3)-V	aminoglycoside
K00544.gene.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
KC107824.1.gene1.p1	beta-lactam__CTX-M-15	beta-lactam
KC149518.1.gene1.p01	beta-lactam__TEM-153	beta-lactam
KC243783.1.gene1.p01	beta-lactam__mecA	beta-lactam
KC292503.1.gene5.p01	beta-lactam__TEM-34	beta-lactam
KC433553.1.gene1.p1	beta-lactam__KPC-15	beta-lactam
KC465199.1.gene1.p01	beta-lactam__KPC-16	beta-lactam
KC465200.1.gene1.p01	beta-lactam__KPC-17	beta-lactam
KC539823.1.gene1.p01	macrolide-lincosamide-streptogramin__vgaA	macrolide-lincosamide-streptogramin
KC567681.1.gene2.p1	beta-lactam__OXA-257	beta-lactam
KC601653.1.gene1.p01	beta-lactam__mecC	beta-lactam
KC603538.1.gene1.p01	beta-lactam__CMY-98	beta-lactam
KC771279.1.gene1.p01	beta-lactam__OXA-278	beta-lactam
KC783461.1.gene1.p01	beta-lactam__TEM-1	beta-lactam
KC818234.1.gene1.p01	beta-lactam__TEM-1	beta-lactam
KC865667.1.gene1.p01	beta-lactam__TEM-208	beta-lactam
KC895984.1.gene2.p01	aminoglycoside__ant(9)-I	aminoglycoside
KC900516.1.gene1.p1	beta-lactam__TEM-205	beta-lactam
KC964871.1.gene1.p1	beta-lactam__CTX-M-141	beta-lactam
KF057027.1.gene1.p01	beta-lactam__OXA-121	beta-lactam
KF057029.1.gene1.p01	beta-lactam__OXA-312	beta-lactam
KF057030.1.gene1.p01	beta-lactam__OXA-313	beta-lactam
KF057031.1.gene1.p01	beta-lactam__OXA-314	beta-lactam
KF057032.1.gene1.p01	beta-lactam__OXA-315	beta-lactam
KF057033.1.gene1.p01	beta-lactam__OXA-316	beta-lactam
KF057034.1.gene1.p01	beta-lactam__OXA-317	beta-lactam
KF148593.1.gene1.p01	beta-lactam__IMP-31	beta-lactam
KF151169.1.gene1.p01	beta-lactam__OXA-1	beta-lactam
KF179354.1.gene1.p1	beta-lactam__GES-23	beta-lactam
KF203096.1.gene1.p01	beta-lactam__OXA-322	beta-lactam
KF203097.1.gene1.p01	beta-lactam__OXA-323	beta-lactam
KF203098.1.gene1.p01	beta-lactam__OXA-324	beta-lactam
KF203099.1.gene1.p01	beta-lactam__OXA-325	beta-lactam
KF203100.1.gene1.p01	beta-lactam__OXA-326	beta-lactam
KF203101.1.gene1.p01	beta-lactam__OXA-327	beta-lactam
KF203102.1.gene1.p01	beta-lactam__OXA-328	beta-lactam
KF203103.1.gene1.p01	beta-lactam__OXA-329	beta-lactam
KF203104.1.gene1.p01	beta-lactam__OXA-330	beta-lactam
KF203105.1.gene1.p01	beta-lactam__OXA-331	beta-lactam
KF203106.1.gene1.p01	beta-lactam__OXA-332	beta-lactam
KF203107.1.gene1.p01	beta-lactam__OXA-333	beta-lactam
KF203108.1.gene1.p01	beta-lactam__OXA-334	beta-lactam
KF203109.1.gene1.p01	beta-lactam__OXA-335	beta-lactam
KF240808.1.gene1.p01	beta-lactam__TEM-209	beta-lactam
KF240809.1.gene1.p01	beta-lactam__CTX-M-142	beta-lactam
KF297577.1.gene1.p01	beta-lactam__OXA-348	beta-lactam
KF297578.1.gene1.p01	beta-lactam__OXA-349	beta-lactam
KF297579.1.gene1.p01	beta-lactam__OXA-350	beta-lactam
KF297580.1.gene1.p01	beta-lactam__OXA-351	beta-lactam
KF297581.1.gene1.p01	beta-lactam__OXA-352	beta-lactam
KF297582.1.gene1.p01	beta-lactam__OXA-353	beta-lactam
KF297583.1.gene1.p01	beta-lactam__OXA-354	beta-lactam
KF297584.1.gene1.p01	beta-lactam__OXA-355	beta-lactam
KF297585.1.gene1.p01	beta-lactam__OXA-356	beta-lactam
KF305673.1.gene1.p01	beta-lactam__CMY-99	beta-lactam
KF421160.1.gene1.p01	beta-lactam__OXA-357	beta-lactam
KF421161.1.gene1.p01	beta-lactam__OXA-358	beta-lactam
KF421162.1.gene1.p01	beta-lactam__OXA-359	beta-lactam
KF421163.1.gene1.p01	beta-lactam__OXA-360	beta-lactam
KF460531.1.gene1.p01	beta-lactam__OXA-361	beta-lactam
KF478993.1.gene2.p01	vancomycin__vanH	vancomycin
KF478993.1.gene3.p01	vancomycin__vanA	vancomycin
KF478993.1.gene4.p01	vancomycin__vanX	vancomycin
KF478993.1.gene7.p01	vancomycin__vanS	vancomycin
KF478993.1.gene8.p01	vancomycin__vanR	vancomycin
KF481967.1.gene1.p01	beta-lactam__SME-4	beta-lactam
KF513177.1.gene1.p1	beta-lactam__SHV-172	beta-lactam
KF513178.1.gene1.p1	beta-lactam__SHV-173	beta-lactam
KF513179.1.gene1.p1	beta-lactam__TEM-211	beta-lactam
